CODE_INSEE,NOM,CODE_POSTAL
27489,REUILLY,27930
27497,ROUGEMONTIERS,27350
27498,ROUGE PERRIERS,27110
27500,ROUTOT,27350
27525,STE COLOMBE PRES VERNON,27950
27533,ST DENIS LE FERMENT,27140
27536,ST ELOI DE FOURQUES,27800
27537,ST ETIENNE DU VAUVRAY,27430
27538,ST ETIENNE L ALLIER,27450
27540,STE GENEVIEVE LES GASNY,27620
27541,LE MESNIL ST JEAN,27560
27544,ST GERMAIN DE FRESNEY,27220
27554,LA CHAPELLE LONGUEVILLE,27950
27556,ST LAURENT DU TENCEMENT,27390
27561,ST MACLOU,27210
27577,STE OPPORTUNE LA MARE,27680
27578,STE MARIE D ATTEZ,27160
27578,STE MARIE D ATTEZ,27160
27582,ST OUEN DU TILLEUL,27670
27589,ST PIERRE DE BAILLEUL,27920
27590,ST PIERRE DE CERNIERES,27390
27591,ST PIERRE DE CORMEILLES,27260
27592,ST PIERRE DE SALERNE,27800
27602,ST SEBASTIEN DE MORSENT,27180
27610,ST VICTOR SUR AVRE,27130
27617,SAUSSAY LA CAMPAGNE,27150
27621,SEREZ,27220
27638,LE THUIT DE L OISON,27370
27638,LE THUIT DE L OISON,27370
27641,LE TILLEUL LAMBERT,27110
27649,TOUFFREVILLE,27440
27676,LES TROIS LACS,27700
27684,LE VIEIL EVREUX,27930
27686,VIEUX PORT,27680
27693,SYLVAINS LES MOULINS,27240
27694,VILLEZ SOUS BAILLEUL,27950
28001,ABONDANT,28410
28004,ALLONNES,28150
28012,COMMUNE NOUVELLE D ARROU,28220
28012,COMMUNE NOUVELLE D ARROU,28290
28018,AUTHON DU PERCHE,28330
28021,BAILLEAU LE PIN,28120
28026,BAUDREVILLE,28310
28027,LA BAZOCHE GOUET,28330
28033,BELHOMERT GUEHOUVILLE,28240
28037,BEROU LA MULOTIERE,28270
28038,BETHONVILLIERS,28330
28047,BOISVILLE LA ST PERE,28150
28054,LE BOULLAY MIVOYE,28210
28056,BOUTIGNY PROUAIS,28410
28057,BOUVILLE,28800
28060,BRICONVILLE,28300
28062,BROUE,28410
28064,BU,28410
28072,CHAMPROND EN PERCHET,28400
28074,LA CHAPELLE D AUNAINVILLE,28700
28077,LA CHAPELLE FORTIN,28340
28100,CINTRAY,28300
28103,CLOYES LES TROIS RIVIERES,28220
28103,CLOYES LES TROIS RIVIERES,28220
28103,CLOYES LES TROIS RIVIERES,28220
28103,CLOYES LES TROIS RIVIERES,28220
28111,COUDRAY AU PERCHE,28330
28118,CROISILLES,28210
28120,CRUCEY VILLAGES,28270
28130,DIGNY,28250
28144,LES ETILLEUX,28330
28161,FRAZE,28160
28171,GARNAY,28500
28185,GOUSSAINVILLE,28410
28185,GOUSSAINVILLE,28410
28189,GUILLEVILLE,28310
28199,JANVILLE EN BEAUCE,28310
28203,LANDELLES,28190
28207,LETHUIN,28700
28211,LOGRON,28200
28212,LOIGNY LA BATAILLE,28140
28218,LUCE,28110
28221,LUMEAU,28140
28225,MAGNY,28120
28229,MAINVILLIERS,28300
28232,MANOU,28240
28237,MAROLLES LES BUIS,28400
28243,MEROUVILLE,28310
28245,MESLAY LE GRENET,28120
28247,LE MESNIL SIMON,28260
28249,MEVOISINS,28130
28254,MITTAINVILLIERS VERIGNY,28190
28264,MONTIREAU,28240
28267,MONTREUIL,28500
28273,MOULHARD,28160
28276,NEUVY EN BEAUCE,28310
28278,NOGENT LE PHAYE,28630
28287,ORGERES EN BEAUCE,28140
28289,ORMOY,28210
28292,OUERRE,28500
28299,LES PINTHIERES,28210
28306,PRE ST MARTIN,28800
28323,ST ANGE ET TORCAY,28170
28333,ST DENIS DES PUITS,28240
28334,ST DENIS LANNERAY,28200
28346,ST LUBIN DE CRAVANT,28270
28349,ST LUCIEN,28210
28350,ST LUPERCE,28190
28353,ST MAUR SUR LE LOIR,28800
28354,ST MAURICE ST GERMAIN,28240
28357,ST PIAT,28130
28360,ST SAUVEUR MARVILLE,28170
28372,SENANTES,28210
28373,SENONCHES,28250
28383,THEUVILLE,28150
28386,THIMERT GATELLES,28170
28387,THIRON GARDAIS,28480
28390,TILLAY LE PENEUX,28140
28391,TOURY,28310
28393,TREMBLAY LES VILLAGES,28170
28394,TREON,28500
28395,TRIZAY COUTRETOT ST SERGE,28400
28406,EOLE EN BEAUCE,28150
28406,EOLE EN BEAUCE,28150
28407,VICHERES,28480
28418,VILLIERS ST ORIEN,28800
28421,VOISE,28700
29003,AUDIERNE,29770
29003,AUDIERNE,29770
29013,BOTMEUR,29690
29015,BOURG BLANC,29860
29021,PLOUNEOUR BRIGNOGAN PLAGES,29890
29024,CARHAIX PLOUGUER,29270
29028,CLEDEN CAP SIZUN,29770
29042,CROZON,29160
29045,DIRINON,29460
29048,EDERN,29510
29049,ELLIANT,29370
29055,LE FOLGOET,29260
29061,GOUESNOU,29850
29067,GUERLESQUIN,29650
29072,GUILVINEC,29730
29076,MILIZAC GUIPRONVEL,29290
29077,GUISSENY,29880
29081,HUELGOAT,29690
29086,IRVILLAC,29460
29090,KERLAZ,29100
29100,LANARVILY,29260
29105,LANDIVISIAU,29400
29114,LANNEANOU,29640
29119,LANRIVOARE,29290
29122,LAZ,29520
29135,LOCTUDY,29750
29139,LOPEREC,29590
29153,NEVEZ,29920
29158,PENMARCH,29760
29165,PLOBANNALEC LESCONIL,29740
29178,PLOUDALMEZEAU,29830
29185,PLOUESCAT,29430
29189,PLOUGASTEL DAOULAS,29470
29190,PLOUGONVELIN,29217
29191,PLOUGONVEN,29640
29192,PLOUGOULM,29250
29196,PLOUGUIN,29830
29209,PLOUVIEN,29860
29210,PLOUVORN,29420
29222,PORT LAUNAY,29150
29228,PRIMELIN,29770
29234,REDENE,29300
29239,ROSCOFF,29680
29243,ST COULITZ,29150
29257,ST PABU,29830
29259,ST POL DE LEON,29250
29263,ST SEGAL,29590
29272,ST YVI,29140
29279,TAULE,29670
29284,TREFFIAGAT,29730
29292,TREGUENNEC,29720
29293,TREGUNC,29910
29299,TREOUERGAT,29290
2A001,AFA,20167
2A017,APPIETTO,20167
2A019,ARBORI,20160
2A026,AZILONE AMPAZA,20190
2A031,BASTELICA,20119
2A032,BASTELICACCIA,20129
2A041,BONIFACIO,20169
2A056,CAMPO,20142
2A061,CARBINI,20170
2A062,CARBUCCIA,20133
2A065,CARGESE,20130
2A066,CARGIACA,20164
2A094,CORRANO,20168
2A103,CUTTOLI CORTICCHIATO,20167
2A117,FORCIOLO,20190
2A118,FOZZANO,20143
2A128,GRANACE,20100
2A130,GROSSETO PRUGNA,20128
2A130,GROSSETO PRUGNA,20166
2A186,OLIVESE,20140
2A191,OLMICCIA,20112
2A200,PALNECA,20134
2A203,PARTINELLO,20147
2A247,PORTO VECCHIO,20137
2A249,PROPRIANO,20110
2A253,QUASQUARA,20142
2A254,QUENZA,20122
2A258,RENNO,20160
2A262,ROSAZIA,20121
2A269,SARI SOLENZARA,20145
2A270,SARI D ORCINO,20151
2A272,SARTENE,20100
2A276,SERRA DI FERRO,20140
2A284,SOLLACARO,20140
2A300,SAN GAVINO DI CARBINI,20170
2A310,SANTA MARIA FIGANIELLA,20143
2A312,SANTA MARIA SICHE,20190
2A336,VALLE DI MEZZANA,20167
2A345,VERO,20172
2B013,ALZI,20212
2B023,ASCO,20276
2B037,BIGUGLIA,20620
2B042,BORGO,20290
2B059,CANAVAGGIA,20235
2B063,CARCHETO BRUSTICO,20229
2B087,CERVIONE,20221
2B096,CORTE,20250
2B101,CROCE,20237
2B105,ERBAJOLO,20212
2B111,FELCE,20234
2B113,FICAJA,20237
2B120,FURIANI,20600
2B135,ISOLACCIO DI FIUMORBO,20243
2B147,LOZZI,20224
2B150,LUMIO,20260
2B152,LURI,20228
2B157,MAZZOLA,20212
2B159,MERIA,20287
2B164,MONACIA D OREZZA,20229
2B165,MONCALE,20214
2B169,MOROSAGLIA,20218
2B170,MORSIGLIA,20238
2B179,NOVALE,20234
2B184,OLCANI,20217
2B194,ORTALE,20234
2B205,PATRIMONIO,20253
2B206,PENTA ACQUATELLA,20290
2B210,PERO CASEVECCHIE,20230
2B230,PIEVE,20246
2B248,PRATO DI GIOVELLINA,20218
2B255,QUERCITELLO,20237
2B261,ROGLIANO,20248
2B265,RUTALI,20239
2B267,SALICETO,20218
2B275,SERMANO,20212
2B287,SORIO,20246
2B289,SOVERIA,20250
2B292,SANT ANDREA DI BOZIO,20212
2B296,SANT ANTONINO,20220
2B297,SAN DAMIANO,20213
2B313,SAN NICOLAO,20230
2B314,SANTO PIETRO DI TENDA,20217
2B315,SANTO PIETRO DI VENACO,20250
2B316,SANTA REPARATA DI BALAGNA,20220
2B318,TAGLIO ISOLACCIO,20230
2B320,TALLONE,20270
2B333,VALLECALLE,20232
2B340,VELONE ORNETO,20230
2B342,VENTISERI,20240
2B347,VEZZANI,20242
2B355,VOLPAJOLA,20290
2B365,SAN GAVINO DI FIUMORBO,20243
30002,AIGREMONT,30350
30017,ARRIGAS,30770
30022,AUJAC,30450
30025,AUMESSAS,30770
30028,BAGNOLS SUR CEZE,30200
30030,BARON,30700
30031,LA BASTIDE D ENGRAS,30330
30038,BEZ ET ESPARON,30120
30040,BLANDAS,30770
30050,BRAGASSARGUES,30260
30054,BROUZET LES QUISSAC,30260
30069,CARNAS,30260
30074,CAUSSE BEGON,30750
30086,COLLORGUES,30190
30096,CORNILLON,30630
30098,CRESPIAN,30260
30100,CRUVIERS LASCOURS,30360
30103,DOMAZAN,30390
30114,FONTANES,30250
30115,FONTARECHES,30580
30116,FOURNES,30210
30120,GAGNIERES,30160
30124,LE GARN,30760
30125,GARONS,30128
30126,GARRIGUES STE EULALIE,30190
30130,GENOLHAC,30450
30130,GENOLHAC,30450
30133,LE GRAU DU ROI,30240
30137,LAMELOUZE,30110
30140,LASALLE,30460
30141,LAUDUN L ARDOISE,30290
30144,LECQUES,30250
30148,LIOUC,30260
30153,MALONS ET ELZE,30450
30154,MANDAGOUT,30120
30161,MASSANES,30350
30166,MEYNES,30840
30177,MONTEILS,30360
30192,ORTHOUX SERIGNAC QUILHAN,30260
30195,PEYROLLES,30124
30200,POMPIGNAN,30170
30205,POUGNADORESSE,30330
30209,PUJAUT,30131
30210,QUISSAC,30260
30215,RIVIERES,30430
30231,ST ANDRE DE VALBORGNE,30940
30236,ST BONNET DE SALENDRINQUE,30460
30243,ST CHRISTOL LEZ ALES,30380
30246,STE CROIX DE CADERLE,30460
30257,ST GERVASY,30320
30260,ST HILAIRE D OZILHAN,30210
30264,ST JEAN DE CEYRARGUES,30360
30266,ST JEAN DE MARUEJOLS ET AVEJAN,30430
30272,ST JULIEN DE LA NEF,30440
30274,ST JULIEN LES ROSIERS,30340
30278,ST LAURENT DES ARBRES,30126
30283,ST MARTIAL,30440
30288,ST NAZAIRE,30200
30313,SAUZET,30190
30314,SAVIGNARGUES,30350
30319,SERVIERS ET LABAUME,30700
30320,SEYNES,30580
30324,SOUVIGNARGUES,30250
30325,SUMENE,30440
30330,TORNAC,30140
30333,UCHAUD,30620
30338,VALLERARGUES,30580
30341,VAUVERT,30600
30343,VERFEUIL,30630
30349,VIC LE FESQ,30260
30351,VILLENEUVE LES AVIGNON,30400
30352,VILLEVIEILLE,30250
31002,AIGNES,31550
31015,ARGUT DESSOUS,31440
31029,AURIN,31570
31040,BACHOS,31440
31042,BAGNERES DE LUCHON,31110
31046,BAREN,31440
31050,BEAUCHALOT,31360
31051,BEAUFORT,31370
31052,BEAUMONT SUR LEZE,31870
31054,BEAUTEVILLE,31290
31056,BEAUZELLE,31700
31060,BELESTA EN LAURAGAIS,31540
31067,BEZINS GARRAUX,31440
31079,BOULOC,31620
31082,BOURG ST BERNARD,31570
31096,CABANAC SEGUENVILLE,31480
31097,LE CABANIAL,31460
31098,CADOURS,31480
31101,CAMBERNARD,31470
31103,CANENS,31310
31110,CASSAGNE,31260
31115,CASTELGAILLARD,31230
31116,CASTELGINEST,31780
31125,CATHERVIELLE,31110
31127,CAUBOUS,31110
31132,CAZAUX LAYRISSE,31440
31133,CAZEAUX DE LARBOUST,31110
31136,CEPET,31620
31137,CESSALES,31290
31146,CIRES,31110
31147,CLARAC,31210
31152,COUEILLES,31230
31158,CUGURON,31210
31159,LE CUING,31210
31160,DAUX,31700
31168,EOUX,31420
31170,ESCANECRABE,31350
31178,FABAS,31230
31182,FENOUILLET,31150
31184,FLOURENS,31130
31186,FONBEAUZARD,31140
31188,FONTENILLES,31470
31190,FOS,31440
31191,FOUGARON,31160
31192,FOURQUEVAUX,31450
31194,FRANCARVILLE,31460
31196,FRANCON,31420
31199,FRONSAC,31440
31203,FROUZINS,31270
31209,GARAC,31480
31215,GAURE,31590
31222,GOUAUX DE LUCHON,31110
31229,GRATENS,31430
31231,GRAZAC,31190
31232,GRENADE,31330
31235,GURAN,31440
31238,HUOS,31210
31248,LABARTHE SUR LEZE,31860
31251,LABASTIDE PAUMES,31230
31256,LABRUYERE DORSA,31190
31260,LAFFITE TOUPIERE,31360
31261,LAFITTE VIGORDANE,31390
31267,LAHITERE,31310
31270,LANDORTHE,31800
31278,LATOUE,31800
31279,LATOUR,31310
31280,LATRAPE,31310
31287,LAVERNOSE LACASSE,31410
31289,LECUSSAN,31580
31291,LEGUEVIN,31490
31292,LESCUNS,31220
31296,LESTELLE DE ST MARTORY,31360
31300,LIEOUX,31800
31301,LILHAC,31230
31305,LOUDET,31580
31311,LA MAGDELAINE SUR TARN,31340
31312,MAILHOLAS,31310
31317,MARIGNAC LASCLARES,31430
31329,MAURENS,31540
31331,MAUREVILLE,31460
31335,MAYREGNE,31110
31338,MENVILLE,31530
31339,MERENVIELLE,31530
31341,MERVILLE,31330
31345,MIREMONT,31190
31353,MONES,31370
31357,MONTASTRUC DE SALIES,31160
31377,MONTGAILLARD LAURAGAIS,31290
31382,MONTGRAS,31370
31385,MONTMAURIN,31350
31386,MONTOULIEU ST BERNARD,31420
31387,MONTOUSSIN,31430
31389,MONTRABE,31850
31390,MONTREJEAU,31210
31395,MURET,31600
31403,ONDES,31330
31406,PALAMINY,31220
31409,PECHABOU,31320
31412,PEGUILHAN,31350
31413,PELLEPORT,31480
31421,PINS JUSTARET,31860
31436,POUY DE TOUGES,31430
31439,PRESERVILLE,31570
31440,PROUPIARY,31360
31446,RAMONVILLE ST AGNE,31520
31451,REVEL,31250
31453,RIEUMAJOU,31290
31467,ST ALBAN,31140
31471,ST BEAT LEZ,31440
31471,ST BEAT LEZ,31440
31476,ST ELIX LE CHATEAU,31430
31479,ST FERREOL DE COMMINGES,31350
31483,ST GAUDENS,31800
31484,ST GENIES BELLEVUE,31180
31498,ST LOUP EN COMMINGES,31350
31520,SAJAS,31370
31524,SALLES ET PRATVIEL,31110
31533,SAUBENS,31600
31535,SAUVETERRE DE COMMINGES,31510
31536,SAUX ET POMAREDE,31800
31540,SEGREVILLE,31460
31543,SENARENS,31430
31546,SEYRE,31560
31551,TARABEL,31570
31554,TOUILLE,31260
31555,TOULOUSE,31100
31555,TOULOUSE,31200
31555,TOULOUSE,31400
31558,TOUTENS,31460
31563,VACQUIERS,31340
31565,VALENTINE,31800
31570,VAUX,31540
31578,VIGOULET AUZIL,31320
31588,VILLENEUVE TOLOSANE,31270
31590,BINOS,31440
31591,ESCOULIS,31260
31593,CAZAC,31230
32005,ARBLADE LE HAUT,32110
32012,AUBIET,32270
32016,AURADE,32600
32017,AURENSAN,32400
32019,AUTERIVE,32550
32023,AVEZAN,32380
32024,AYGUETINTE,32410
32027,BARCELONNE DU GERS,32720
32028,BARCUGNAN,32170
32030,BARS,32300
32038,BEAUPUY,32600
32050,BETPLAN,32730
32056,BLANQUEFORT,32270
32057,BLAZIERT,32100
32064,BRETAGNE D ARMAGNAC,32800
32065,LE BROUILH MONBERT,32350
32065,LE BROUILH MONBERT,32350
32076,CASTELNAU BARBARENS,32450
32091,CASTIN,32810
32096,CAZAUBON,32150
32104,CLERMONT POUYGUILLES,32300
32107,CONDOM,32100
32112,CRASTES,32270
32116,DUFFORT,32170
32118,DURBAN,32260
32124,ESPAON,32220
32126,ESTAMPES,32170
32140,GAUJAC,32220
32148,GISCARO,32200
32160,L ISLE JOURDAIN,32600
32167,LAAS,32170
32172,LABEJAN,32300
32174,LADEVEZE RIVIERE,32230
32180,LAGRAULET DU GERS,32330
32183,LAHITTE,32810
32185,LALANNE ARQUE,32140
32192,LANNUX,32400
32197,LARROQUE SUR L OSSE,32100
32202,LAUJUZAN,32110
32203,LAURAET,32330
32207,LEBOULIN,32810
32210,LIAS,32600
32213,LOMBEZ,32220
32216,LOURTIES MONBRUN,32140
32220,LUPPE VIOLLES,32110
32221,LUSSAN,32270
32222,MAGNAN,32110
32225,MALABAT,32730
32234,MARESTAING,32490
32236,MARGUESTAU,32150
32239,MARSOLAN,32700
32241,MAS D AUVIGNON,32700
32244,MAULICHERES,32400
32256,MIRANDE,32300
32260,MONBARDON,32420
32269,MONFORT,32120
32275,MONPARDIAC,32170
32283,MONTEGUT ARROS,32730
32292,MOUCHAN,32330
32295,NIZAS,32130
32300,ORBESSAN,32260
32303,PALLANNE,32230
32304,PANASSAC,32140
32315,PEYRUSSE GRANDE,32320
32325,POUYDRAGUIN,32290
32337,PUYSEGUR,32390
32349,ROQUELAURE ST AUBIN,32430
32352,ROZES,32190
32353,SABAILLAN,32420
32364,ST AVIT FRANDAT,32700
32370,ST CLAR,32380
32374,ST ELIX D ASTARAC,32450
32376,STE GEMME,32120
32377,ST GEORGES,32430
32378,ST GERME,32400
32385,ST LEONARD,32380
32394,ST MEDARD,32300
32395,STE MERE,32700
32410,SAMATAN,32130
32415,SARRAGUZAN,32170
32417,LA SAUVETAT,32500
32420,SAUVIMONT,32220
32422,SCIEURAC ET FLOURES,32230
32423,SEAILLES,32190
32424,SEGOS,32400
32426,SEISSAN,32260
32440,TASQUE,32160
32442,TERRAUBE,32700
32445,TIESTE URAGNOUX,32160
32448,TOUGET,32430
32463,VIELLA,32400
32464,VILLECOMTAL SUR ARROS,32730
32467,ST CAPRAIS,32200
32468,AUSSOS,32140
33004,AMBES,33810
33007,ARBANATS,33640
33008,PORTE DE BENAUGE,33760
33008,PORTE DE BENAUGE,33760
33011,ARES,33740
33014,LES ARTIGUES DE LUSSAC,33570
33018,VAL DE VIRVEE,33240
33020,AURIOLLES,33790
33023,AYGUEMORTE LES GRAVES,33640
33027,BARIE,33190
33028,BARON,33750
33031,BASSANNE,33190
33032,BASSENS,33530
33034,BAYAS,33230
33035,BAYON SUR GIRONDE,33710
33037,BEAUTIRAN,33640
33040,BEGUEY,33410
33043,BELLEBAT,33760
33047,BERSON,33390
33053,BIRAC,33430
33063,BORDEAUX,33300
33063,BORDEAUX,33800
33064,BOSSUGAN,33350
33070,BRACH,33480
33077,CABANAC ET VILLAGRAINS,33650
33078,CABARA,33420
33080,CADAUJAC,33140
33090,CANEJAN,33610
33101,CARTELEGUE,33390
33102,CASSEUIL,33190
33109,CASTRES GIRONDE,33640
33111,CAUDROT,33490
33117,CAZAUGITAT,33790
33120,CERONS,33720
33121,CESSAC,33760
33122,CESTAS,33610
33129,CLEYRAC,33540
33134,COUQUEQUES,33340
33141,CROIGNON,33750
33143,CUBZAC LES PONTS,33240
33154,LES EGLISOTTES ET CHALAURES,33230
33164,FARGUES,33210
33171,FOSSES ET BALEYSSAC,33190
33172,FOURS,33390
33175,FRONTENAC,33760
33176,GABARNAC,33410
33177,GAILLAN EN MEDOC,33340
33181,GARDEGAN ET TOURTIRAC,33350
33196,GUILLAC,33420
33200,LE HAILLAN,33185
33208,JAU DIGNAC ET LOIRAC,33590
33213,LA BREDE,33650
33214,LACANAU,33680
33214,LACANAU,33680
33229,LANTON,33138
33230,LAPOUYADE,33620
33234,LATRESNE,33360
33248,LISTRAC MEDOC,33480
33261,LUSSAC,33570
33262,MACAU,33460
33270,MARIMBAULT,33430
33277,MASSUGAS,33790
33290,MONTAGNE,33570
33290,MONTAGNE,33570
33294,MORIZES,33190
33296,MOULIETS ET VILLEMARTIN,33350
33299,MOURENS,33410
33303,NERIGEAN,33750
33304,NEUFFONS,33580
33306,NOAILLAC,33190
33316,PELLEGRUE,33790
33320,PETIT PALAIS ET CORNEMPS,33570
33328,POMEROL,33500
33351,REIGNAC,33860
33355,RIONS,33410
33356,LA RIVIERE,33126
33366,ST ANDRE DE CUBZAC,33240
33373,ST ANTOINE SUR L ISLE,33660
33376,ST AUBIN DE MEDOC,33160
33384,ST CHRISTOPHE DES BARDES,33330
33385,ST CHRISTOPHE DE DOUBLE,33230
33388,ST CIERS DE CANESSE,33710
33393,ST DENIS DE PILE,33910
33396,ST ETIENNE DE LISSE,33330
33401,STE FLORENCE,33350
33408,ST GENES DE LOMBAUD,33670
33439,ST MARIENS,33620
33443,ST MARTIN DE LERM,33540
33445,ST MARTIN DU BOIS,33910
33447,ST MEDARD DE GUIZIERES,33230
33454,ST MORILLON,33650
33457,ST PARDON DE CONQUES,33210
33460,ST PEY DE CASTETS,33350
33472,ST SAUVEUR DE PUYNORMAND,33660
33478,ST SEURIN SUR L ISLE,33660
33499,LES SALLES DE CASTILLON,33350
33504,SAUTERNES,33210
33510,SEMENS,33490
33515,SOULIGNAC,33760
33518,TABANAC,33550
33521,TALAIS,33590
33523,TARGON,33760
33540,VENDAYS MONTALIVET,33930
33550,VILLENAVE D ORNON,33140
33552,VIRELADE,33720
33554,YVRAC,33370
34001,ABEILHAN,34290
34003,AGDE,34300
